Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF6-A549-Nt	NP_001753.1	CCT6A	21	21	21.00	1	22|30|0	0.00	0.00	0.00	0.00	0.00	-61.99	0.81	0.50
ORF6-A549-Nt	NP_001896.2	CTPS1	5	5	5.00	1	13|15|0	0.00	0.00	0.00	0.00	0.00	-45.76	0.36	0.54
ORF6-A549-Nt	NP_001905.1	CYB5A	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.18	40.00	0.00
ORF6-A549-Nt	NP_001243728.1	GAPDH	7	7	7.00	1	3|6|0	0.00	0.00	0.00	0.00	0.00	-6.19	1.56	0.20
ORF6-A549-Nt	NP_002127.1	HNRNPA1	16	16	16.00	1	16|32|0	0.00	0.00	0.00	0.00	0.00	-62.20	0.67	0.54
ORF6-A549-Nt	NP_002148.1	HSPE1	14	14	14.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	22.90	140.00	0.00
ORF6-A549-Nt	NP_002202.2	ITGB1	56	56	56.00	1	15|14|0	1.00	1.00	1.00	1.00	1.00	22.25	3.86	0.00
ORF6-A549-Nt	NP_002215.2	ITPR3	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.14	70.00	0.00
ORF6-A549-Nt	NP_002221.1	JUP	6	6	6.00	1	17|16|0	0.00	0.00	0.00	0.00	0.00	-53.67	0.36	0.54
ORF6-A549-Nt	NP_002258.2	KPNA3	13	13	13.00	1	6|12|0	0.00	0.00	0.00	0.00	0.00	-13.37	1.44	0.33
ORF6-A549-Nt	NP_002261.3	TNPO1	49	49	49.00	1	39|37|0	0.00	0.00	0.00	0.00	0.00	-63.55	1.29	0.51
ORF6-A549-Nt	NP_002327.2	LRP6	8	8	8.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	13.71	80.00	0.00
ORF6-A549-Nt	NP_001127836.1	MAP4	123	123	123.00	1	303|277|0	0.00	0.00	0.00	0.00	0.00	-inf	0.42	0.54
ORF6-A549-Nt	NP_002464.1	MYH9	11	11	11.00	1	120|93|0	0.00	0.00	0.00	0.00	0.00	-426.53	0.10	0.54
ORF6-A549-Nt	NP_001032827.1	NPM1	13	13	13.00	1	18|15|0	0.00	0.00	0.00	0.00	0.00	-39.84	0.79	0.47
ORF6-A549-Nt	NP_002559.2	PABPC1	6	6	6.00	1	19|18|0	0.00	0.00	0.00	0.00	0.00	-61.90	0.32	0.54
ORF6-A549-Nt	NP_002568.2	PAK2	23	23	23.00	1	48|53|0	0.00	0.00	0.00	0.00	0.00	-153.72	0.46	0.54
ORF6-A549-Nt	NP_001229268.1	PFKP	3	3	3.00	1	9|8|0	0.00	0.00	0.00	0.00	0.00	-27.89	0.35	0.54
ORF6-A549-Nt	NP_002636.2	PIK3C2A	80	80	80.00	1	34|30|0	0.11	0.11	0.11	0.11	0.11	-2.10	2.50	0.08
ORF6-A549-Nt	NP_002645.3	PKM	44	44	44.00	1	26|39|39	0.00	0.00	0.00	0.00	0.00	-74.14	1.13	0.51
ORF6-A549-Nt	NP_002732.3	PKN1	29	29	29.00	1	27|22|0	0.00	0.00	0.00	0.00	0.00	-44.83	1.18	0.48
ORF6-A549-Nt	NP_002849.1	ABCD3	70	70	70.00	1	4|5|0	1.00	1.00	1.00	1.00	1.00	71.19	15.56	0.00
ORF6-A549-Nt	NP_003082.1	SNRPB	8	8	8.00	1	14|19|0	0.00	0.00	0.00	0.00	0.00	-49.28	0.48	0.54
ORF6-A549-Nt	NP_003090.2	SNX1	14	14	14.00	1	21|24|0	0.00	0.00	0.00	0.00	0.00	-61.01	0.62	0.54
ORF6-A549-Nt	NP_003127.1	SRP54	30	30	30.00	1	36|43|0	0.00	0.00	0.00	0.00	0.00	-97.22	0.76	0.52
ORF6-A549-Nt	NP_003130.2	SRPRA	46	46	46.00	1	21|23|0	0.00	0.00	0.00	0.00	0.00	-13.11	2.09	0.33
ORF6-A549-Nt	NP_003155.2	STX5	36	36	36.00	1	4|4|0	1.00	1.00	1.00	1.00	1.00	29.46	9.00	0.00
ORF6-A549-Nt	NP_003196.1	TCF12	5	5	5.00	1	20|22|0	0.00	0.00	0.00	0.00	0.00	-75.04	0.24	0.54
ORF6-A549-Nt	NP_003248.3	TJP1	27	27	27.00	1	129|105|0	0.00	0.00	0.00	0.00	0.00	-421.24	0.23	0.54
ORF6-A549-Nt	NP_001027454.1	TMPO	150	150	150.00	1	48|54|0	1.00	1.00	1.00	1.00	1.00	24.57	2.94	0.00
ORF6-A549-Nt	NP_003477.4	SLC7A5	6	6	6.00	1	2|0|0	0.92	0.92	0.92	0.92	0.92	2.45	6.00	0.01
ORF6-A549-Nt	NP_003518.2	H2BC17	15	15	15.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	24.38	150.00	0.00
ORF6-A549-Nt	NP_001019770.1	H2BC18	16	16	16.00	1	6|7|0	0.26	0.26	0.26	0.26	0.26	-1.06	2.46	0.07
ORF6-A549-Nt	NP_003555.1	TAGLN2	37	37	37.00	1	52|55|0	0.00	0.00	0.00	0.00	0.00	-137.84	0.69	0.53
ORF6-A549-Nt	NP_003786.1	SNX3	2	2	2.00	1	0|2|0	0.30	0.30	0.31	0.31	0.31	-0.82	2.00	0.04
ORF6-A549-Nt	NP_003787.2	URI1	6	6	6.00	1	11|16|0	0.00	0.00	0.00	0.00	0.00	-41.48	0.44	0.54
ORF6-A549-Nt	NP_001171559.1	SYNJ2	22	22	22.00	1	52|45|0	0.00	0.00	0.00	0.00	0.00	-147.85	0.45	0.54
ORF6-A549-Nt	NP_003891.1	SQSTM1	28	28	28.00	1	18|17|0	0.00	0.00	0.00	0.00	0.00	-21.94	1.60	0.40
ORF6-A549-Nt	NP_003962.3	SPAG9	63	63	63.00	1	73|78|0	0.00	0.00	0.00	0.00	0.00	-176.14	0.83	0.53
ORF6-A549-Nt	NP_003990.1	OSMR	18	18	18.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	28.84	180.00	0.00
ORF6-A549-Nt	NP_004090.4	STOM	25	25	25.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	39.16	250.00	0.00
ORF6-A549-Nt	NP_004152.1	RAB1A	17	17	17.00	1	0|4|0	0.99	0.99	0.99	0.99	0.99	4.27	8.50	0.00
ORF6-A549-Nt	NP_112243.1	RAB1B	15	15	15.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	24.40	150.00	0.00
ORF6-A549-Nt	NP_057215.3	RAB10	12	12	12.00	1	3|5|0	0.87	0.87	0.87	0.87	0.87	1.90	3.00	0.01
ORF6-A549-Nt	NP_004278.2	GOSR2	6	6	6.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	10.50	60.00	0.00
ORF6-A549-Nt	NP_004359.1	CNN2	7	7	7.00	1	11|16|0	0.00	0.00	0.00	0.00	0.00	-39.43	0.52	0.54
ORF6-A549-Nt	NP_004413.1	DVL2	21	21	21.00	1	23|25|0	0.00	0.00	0.00	0.00	0.00	-54.71	0.88	0.50
ORF6-A549-Nt	NP_004422.2	EPHA2	10	10	10.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	16.81	100.00	0.00
ORF6-A549-Nt	NP_004448.2	ACSL3	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.18	40.00	0.00
ORF6-A549-Nt	NP_004512.1	KIF5B	14	14	14.00	1	25|20|0	0.00	0.00	0.00	0.00	0.00	-61.02	0.62	0.54
ORF6-A549-Nt	NP_004593.2	STAU1	14	14	14.00	1	24|36|0	0.00	0.00	0.00	0.00	0.00	-90.14	0.47	0.54
ORF6-A549-Nt	NP_001157852.1	STAU2	8	8	8.00	1	22|29|0	0.00	0.00	0.00	0.00	0.00	-86.09	0.31	0.54
ORF6-A549-Nt	NP_004729.1	VAPB	15	15	15.00	1	0|3|0	0.99	0.99	0.99	0.99	0.99	5.06	10.00	0.00
ORF6-A549-Nt	NP_004810.2	SYMPK	36	36	36.00	1	124|106|0	0.00	0.00	0.00	0.00	0.00	-388.73	0.31	0.54
ORF6-A549-Nt	NP_001193469.1	CAPZB	4	4	4.00	1	7|13|0	0.00	0.00	0.00	0.00	0.00	-31.52	0.40	0.54
ORF6-A549-Nt	NP_004989.2	MYO1E	4	4	4.00	1	20|17|0	0.00	0.00	0.00	0.00	0.00	-67.21	0.22	0.54
ORF6-A549-Nt	NP_005013.1	PFN1	7	7	7.00	1	8|6|8	0.00	0.00	0.00	0.00	0.00	-18.53	0.88	0.54
ORF6-A549-Nt	NP_005219.2	EGFR	16	16	16.00	1	17|17|0	0.00	0.00	0.00	0.00	0.00	-36.90	0.94	0.46
ORF6-A549-Nt	NP_001005862.1	ERBB2	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.62	20.00	0.00
