Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF3B-A549-Nt	O75083	WDR1	5|8	13	6.50	2	0|0|0|2	0.92	0.98	0.91	0.98	0.92	1.75	6.50	0.00
ORF3B-A549-Nt	Q709C8	VPS13C	16|13	29	14.50	2	0|0|20|20	0.00	0.00	0.00	0.00	0.00	-53.35	0.72	0.48
ORF3B-A549-Nt	Q9NXF8	ZDHHC7	6|3	9	4.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.33	45.00	0.00
ORF3B-A549-Nt	Q8IWZ3	ANKHD1	21|32	53	26.50	2	0|0|30|22	0.00	0.00	0.00	0.00	0.00	-62.16	1.02	0.48
ORF3B-A549-Nt	O75179	ANKRD17	14|21	35	17.50	2	0|0|29|23	0.00	0.00	0.00	0.00	0.00	-74.80	0.67	0.50
ORF3B-A549-Nt	Q7Z7G8	VPS13B	96|76	172	86.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	112.18	860.00	0.00
ORF3B-A549-Nt	Q8NEU8	APPL2	19|20	39	19.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	30.26	195.00	0.00
ORF3B-A549-Nt	Q96SN8	CDK5RAP2	18|21	39	19.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	28.76	195.00	0.00
ORF3B-A549-Nt	Q9H920	RNF121	7|9	16	8.00	2	0|0|4|6	0.00	0.01	0.00	0.00	0.00	-8.11	1.60	0.26
ORF3B-A549-Nt	Q8IUH4	ZDHHC13	14|13	27	13.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	21.31	135.00	0.00
ORF3B-A549-Nt	Q9HC35	EML4	4|4	8	4.00	2	0|0|7|6	0.00	0.00	0.00	0.00	0.00	-17.95	0.62	0.39
ORF3B-A549-Nt	Q7Z2W4	ZC3HAV1	65|67	132	66.00	2	0|0|73|82	0.00	0.00	0.00	0.00	0.00	-180.32	0.85	0.54
ORF3B-A549-Nt	Q4V328	GRIPAP1	36|34	70	35.00	2	0|0|18|18	0.00	0.00	0.00	0.00	0.00	-15.67	1.94	0.36
